Zipcode,City,Lat,Long,State
705,AIBONITO,18.14,-66.26,PR
610,ANASCO,18.28,-67.14,PR
611,ANGELES,18.28,-66.79,PR
612,ARECIBO,18.45,-66.73,PR
601,ADJUNTAS,18.16,-66.72,PR
631,CASTANER,18.19,-66.82,PR
602,AGUADA,18.38,-67.18,PR
603,AGUADILLA,18.43,-67.15,PR
604,AGUADILLA,18.43,-67.15,PR
605,AGUADILLA,18.43,-67.15,PR
703,AGUAS BUENAS,18.25,-66.1,PR
704,AGUIRRE,17.96,-66.22,PR
7675,WESTWOOD,40.98,-74.03,NJ
7677,WOODCLIFF LAKE,41.02,-74.05,NJ
7885,WHARTON,40.89,-74.58,NJ
7981,WHIPPANY,40.82,-74.41,NJ
7999,WHIPPANY,40.82,-74.41,NJ
8888,WHITEHOUSE,40.62,-74.76,NJ
8889,WHITEHOUSE STATION,40.6,-74.76,NJ
7095,WOODBRIDGE,40.55,-74.28,NJ
7481,WYCKOFF,40.99,-74.16,NJ
10451,BRONX,40.84,-73.87,NY
10452,BRONX,40.84,-73.87,NY
10453,BRONX,40.84,-73.87,NY
10454,BRONX,40.84,-73.87,NY
10455,BRONX,40.84,-73.87,NY
10456,BRONX,40.84,-73.87,NY
10457,BRONX,40.84,-73.87,NY
10458,BRONX,40.84,-73.87,NY
10459,BRONX,40.84,-73.87,NY
10460,BRONX,40.84,-73.87,NY
10461,BRONX,40.84,-73.87,NY
10462,BRONX,40.84,-73.87,NY
10463,BRONX,40.84,-73.87,NY
10464,BRONX,40.84,-73.87,NY
10465,BRONX,40.84,-73.87,NY
10466,BRONX,40.84,-73.87,NY
10467,BRONX,40.84,-73.87,NY
10468,BRONX,40.84,-73.87,NY
10469,BRONX,40.84,-73.87,NY
10470,BRONX,40.84,-73.87,NY
10471,BRONX,40.84,-73.87,NY
10472,BRONX,40.84,-73.87,NY
10473,BRONX,40.84,-73.87,NY
10474,BRONX,40.84,-73.87,NY
10475,BRONX,40.84,-73.87,NY
10499,BRONX,40.84,-73.87,NY
10001,NEW YORK,40.71,-73.99,NY
10002,NEW YORK,40.71,-73.99,NY
10003,NEW YORK,40.71,-73.99,NY
10004,NEW YORK,40.71,-73.99,NY
10005,NEW YORK,40.71,-73.99,NY
10006,NEW YORK,40.71,-73.99,NY
10007,NEW YORK,40.71,-73.99,NY
10008,NEW YORK,40.71,-73.99,NY
10009,NEW YORK,40.71,-73.99,NY
10010,NEW YORK,40.71,-73.99,NY
10011,NEW YORK,40.71,-73.99,NY
10012,NEW YORK,40.71,-73.99,NY
10013,NEW YORK,40.71,-73.99,NY
10014,NEW YORK,40.71,-73.99,NY
10016,NEW YORK,40.71,-73.99,NY
10017,NEW YORK,40.71,-73.99,NY
10018,NEW YORK,40.71,-73.99,NY
10019,NEW YORK,40.71,-73.99,NY
10020,NEW YORK,40.71,-73.99,NY
10021,NEW YORK,40.77,-73.95,NY
10022,NEW YORK,40.71,-73.99,NY
10023,NEW YORK,40.71,-73.99,NY
10024,NEW YORK,40.71,-73.99,NY
10025,NEW YORK,40.71,-73.99,NY
10026,NEW YORK,40.71,-73.99,NY
10027,NEW YORK,40.71,-73.99,NY
10028,NEW YORK,40.71,-73.99,NY
10029,NEW YORK,40.71,-73.99,NY
10030,NEW YORK,40.71,-73.99,NY
10031,NEW YORK,40.71,-73.99,NY
10032,NEW YORK,40.71,-73.99,NY
10033,NEW YORK,40.71,-73.99,NY
10034,NEW YORK,40.71,-73.99,NY
613,ARECIBO,18.45,-66.73,PR
614,ARECIBO,18.45,-66.73,PR
714,ARROYO,17.97,-66.06,PR
616,BAJADERO,18.4,-66.66,PR
617,BARCELONETA,18.45,-66.53,PR
794,BARRANQUITAS,18.18,-66.3,PR
622,BOQUERON,17.99,-67.15,PR
623,CABO ROJO,18.08,-67.14,PR
627,CAMUY,18.48,-66.84,PR
729,CANOVANAS,18.37,-65.9,PR
979,CAROLINA,18.4,-65.98,PR
981,CAROLINA,18.4,-65.98,PR
982,CAROLINA,18.4,-65.98,PR
983,CAROLINA,18.4,-65.98,PR
984,CAROLINA,18.4,-65.98,PR
985,CAROLINA,18.4,-65.98,PR
986,CAROLINA,18.4,-65.98,PR
987,CAROLINA,18.4,-65.98,PR
988,CAROLINA,18.4,-65.98,PR
736,CAYEY,18.11,-66.16,PR
739,CIDRA,18.17,-66.15,PR
769,COAMO,18.08,-66.36,PR
782,COMERIO,18.22,-66.22,PR
783,COROZAL,18.34,-66.31,PR
9848,APO,,,AE
10200,NEW YORK,40.77,73.95,NY
9323,APO,-44.25,33.53,AE
659,HATILLO,18.48,-66.82,PR
660,HORMIGUEROS,18.14,-67.12,PR
791,HUMACAO,18.15,-65.81,PR
792,HUMACAO,18.15,-65.81,PR
662,ISABELA,18.5,-67.02,PR
664,JAYUYA,18.22,-66.59,PR
795,JUANA DIAZ,18.05,-66.5,PR
777,JUNCOS,18.22,-65.91,PR
728,PONCE,17.98,-66.6,PR
725,CAGUAS,18.23,-66.03,PR
726,CAGUAS,18.23,-66.03,PR
727,CAGUAS,18.23,-66.03,PR
737,CAYEY,18.11,-66.16,PR
735,CEIBA,18.26,-65.64,PR
742,ROOSEVELT ROADS,18.27,-65.65,PR
638,CIALES,18.33,-66.47,PR
780,COTO LAUREL,18.09,-66.57,PR
775,CULEBRA,18.31,-65.3,PR
646,DORADO,18.47,-66.27,PR
647,ENSENADA,17.96,-66.94,PR
738,FAJARDO,18.33,-65.65,PR
650,FLORIDA,18.36,-66.56,PR
652,GARROCHALES,18.45,-66.6,PR
653,GUANICA,17.97,-66.93,PR
784,GUAYAMA,17.97,-66.11,PR
785,GUAYAMA,17.97,-66.11,PR
656,GUAYANILLA,18.02,-66.79,PR
965,GUAYNABO,18.38,-66.11,PR
966,GUAYNABO,18.38,-66.11,PR
968,GUAYNABO,18.38,-66.11,PR
969,GUAYNABO,18.38,-66.11,PR
970,GUAYNABO,18.38,-66.11,PR
971,GUAYNABO,18.38,-66.11,PR
778,GURABO,18.25,-65.97,PR
667,LAJAS,18.04,-67.06,PR
786,LA PLATA,18.16,-66.23,PR
669,LARES,18.29,-66.88,PR
670,LAS MARIAS,18.27,-67.06,PR
771,LAS PIEDRAS,18.18,-65.86,PR
931,SAN JUAN,18.4,-66.06,PR
933,SAN JUAN,18.4,-66.06,PR
934,FORT BUCHANAN,18.41,-66.11,PR
935,SAN JUAN,18.4,-66.06,PR
936,SAN JUAN,18.4,-66.06,PR
772,LOIZA,18.43,-65.88,PR
773,LUQUILLO,18.37,-65.71,PR
674,MANATI,18.43,-66.48,PR
606,MARICAO,18.18,-66.98,PR
707,MAUNABO,18,-65.9,PR
636,ROSARIO,18.15,-67.06,PR
680,MAYAGUEZ,18.2,-67.14,PR
681,MAYAGUEZ,18.2,-67.14,PR
682,MAYAGUEZ,18.2,-67.14,PR
715,MERCEDITA,18,-66.56,PR
676,MOCA,18.39,-67.11,PR
687,MOROVIS,18.32,-66.4,PR
718,NAGUABO,18.21,-65.73,PR
719,NARANJITO,18.3,-66.24,PR
